query_id,query_text,doc_id,posicao_ranking,score_bm25,doc_fonte
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",486,2,23.398197401032228,True
3,"what problems of heat conduction in composite slabs have been solved so
far .",485,1,26.641919223631156,True
4,"can a criterion be developed to show empirically the validity of flow
solutions for chemically reacting gas mixtures based on the simplifying
assumption of instantaneous local chemical equilibrium .",488,2,38.00239026575497,True
4,"can a criterion be developed to show empirically the validity of flow
solutions for chemically reacting gas mixtures based on the simplifying
assumption of instantaneous local chemical equilibrium .",1061,3,28.31728320626782,False
5,"what chemical kinetic system is applicable to hypersonic aerodynamic
problems .",103,1,17.402576651517663,False
5,"what chemical kinetic system is applicable to hypersonic aerodynamic
problems .",1032,3,15.252050655053539,False
6,"what theoretical and experimental guides do we have as to turbulent
couette flow behaviour .",491,1,19.146036385039427,True
6,"what theoretical and experimental guides do we have as to turbulent
couette flow behaviour .",386,2,12.492226820310712,False
6,"what theoretical and experimental guides do we have as to turbulent
couette flow behaviour .",385,3,12.489986978522866,False
7,"is it possible to relate the available pressure distributions for an
ogive forebody at zero angle of attack to the lower surface pressures of
an equivalent ogive forebody at angle of attack .",492,1,81.20265129672961,True
7,"is it possible to relate the available pressure distributions for an
ogive forebody at zero angle of attack to the lower surface pressures of
an equivalent ogive forebody at angle of attack .",973,2,41.09970152199064,False
8,"what methods -dash exact or approximate -dash are presently available
for predicting body pressures at angle of attack.",492,1,24.86102548158502,True
8,"what methods -dash exact or approximate -dash are presently available
for predicting body pressures at angle of attack.",711,3,23.190678173273877,False
9,papers on internal /slip flow/ heat transfer studies .,45,3,18.44404845503357,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",493,2,24.932894951767615,True
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",1143,3,22.94730964254613,False
11,"is it possible to find an analytical,  similar solution of the strong
blast wave problem in the newtonian approximation .",495,1,34.14481062320344,True
11,"is it possible to find an analytical,  similar solution of the strong
blast wave problem in the newtonian approximation .",472,3,16.991063183419143,False
12,"how can the aerodynamic performance of channel flow ground effect
machines be calculated .",624,1,28.059096223986923,True
12,"how can the aerodynamic performance of channel flow ground effect
machines be calculated .",966,3,15.571325256596161,False
13,what is the basic mechanism of the transonic aileron buzz .,496,1,30.66734971545624,True
13,what is the basic mechanism of the transonic aileron buzz .,903,2,16.503270856828404,False
13,what is the basic mechanism of the transonic aileron buzz .,313,3,13.612797908660415,False
14,papers on shock-sound wave interaction .,170,2,15.565885284498956,False
14,papers on shock-sound wave interaction .,132,3,15.46958593687323,False
15,material properties of photoelastic materials .,1025,3,15.390028110469096,False
16,"can the transverse potential flow about a body of revolution be
calculated efficiently by an electronic computer .",498,1,27.80622375454541,True
16,"can the transverse potential flow about a body of revolution be
calculated efficiently by an electronic computer .",231,3,17.753977296670186,False
17,"can the three-dimensional problem of a transverse potential flow about
a body of revolution be reduced to a two-dimensional problem .",1108,1,25.180551028145917,False
17,"can the three-dimensional problem of a transverse potential flow about
a body of revolution be reduced to a two-dimensional problem .",1281,2,25.08273495900732,False
17,"can the three-dimensional problem of a transverse potential flow about
a body of revolution be reduced to a two-dimensional problem .",700,3,24.82581253073035,False
18,"are experimental pressure distributions on bodies of revolution at angle
of attack available .",248,1,22.00036176249704,False
18,"are experimental pressure distributions on bodies of revolution at angle
of attack available .",498,3,19.610467252839463,True
19,"does there exist a good basic treatment of the dynamics of re-entry
combining consideration of realistic effects with relative simplicity of
results .",706,1,14.258298455418107,False
19,"does there exist a good basic treatment of the dynamics of re-entry
combining consideration of realistic effects with relative simplicity of
results .",1346,3,13.330035078036824,False
20,"has anyone formally determined the influence of joule heating,  produced
by the induced current,  in magnetohydrodynamic free convection flows
under general conditions .",500,1,41.84670253200501,True
21,"why does the compressibility transformation fail to correlate the high
speed data for helium and air .",502,1,33.32004552767021,True
21,"why does the compressibility transformation fail to correlate the high
speed data for helium and air .",68,2,19.669339436610034,False
