query_id,query_text,doc_id,posicao_real,relevancia_original
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",29,37,2
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",31,Não recuperado (score 0),2
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",57,299,2
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",378,46,2
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",859,258,2
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",875,16,2
2,"what are the structural and aeroelastic problems associated with flight
of high speed aircraft .",15,683,2
2,"what are the structural and aeroelastic problems associated with flight
of high speed aircraft .",858,545,2
2,"what are the structural and aeroelastic problems associated with flight
of high speed aircraft .",859,627,2
2,"what are the structural and aeroelastic problems associated with flight
of high speed aircraft .",948,220,2
6,"what theoretical and experimental guides do we have as to turbulent
couette flow behaviour .",99,18,2
7,"is it possible to relate the available pressure distributions for an
ogive forebody at zero angle of attack to the lower surface pressures of
an equivalent ogive forebody at angle of attack .",20,411,2
8,"what methods -dash exact or approximate -dash are presently available
for predicting body pressures at angle of attack.",48,34,1
8,"what methods -dash exact or approximate -dash are presently available
for predicting body pressures at angle of attack.",354,22,1
8,"what methods -dash exact or approximate -dash are presently available
for predicting body pressures at angle of attack.",360,49,1
8,"what methods -dash exact or approximate -dash are presently available
for predicting body pressures at angle of attack.",1005,95,1
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",259,48,2
12,"how can the aerodynamic performance of channel flow ground effect
machines be calculated .",86,22,2
12,"how can the aerodynamic performance of channel flow ground effect
machines be calculated .",194,448,2
12,"how can the aerodynamic performance of channel flow ground effect
machines be calculated .",652,14,2
13,what is the basic mechanism of the transonic aileron buzz .,64,Não recuperado (score 0),2
13,what is the basic mechanism of the transonic aileron buzz .,265,Não recuperado (score 0),2
16,"can the transverse potential flow about a body of revolution be
calculated efficiently by an electronic computer .",266,33,2
18,"are experimental pressure distributions on bodies of revolution at angle
of attack available .",196,24,2
18,"are experimental pressure distributions on bodies of revolution at angle
of attack available .",198,937,2
19,"does there exist a good basic treatment of the dynamics of re-entry
combining consideration of realistic effects with relative simplicity of
results .",32,53,2
19,"does there exist a good basic treatment of the dynamics of re-entry
combining consideration of realistic effects with relative simplicity of
results .",67,210,2
21,"why does the compressibility transformation fail to correlate the high
speed data for helium and air .",271,26,1
21,"why does the compressibility transformation fail to correlate the high
speed data for helium and air .",16,20,2
22,"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .",68,Não recuperado (score 0),1
23,what progress has been made in research on unsteady aerodynamics .,900,305,1
23,what progress has been made in research on unsteady aerodynamics .,200,Não recuperado (score 0),2
23,what progress has been made in research on unsteady aerodynamics .,201,Não recuperado (score 0),2
23,what progress has been made in research on unsteady aerodynamics .,601,468,2
23,what progress has been made in research on unsteady aerodynamics .,901,387,2
23,what progress has been made in research on unsteady aerodynamics .,544,234,2
23,what progress has been made in research on unsteady aerodynamics .,597,340,2
23,what progress has been made in research on unsteady aerodynamics .,634,103,2
23,what progress has been made in research on unsteady aerodynamics .,687,Não recuperado (score 0),2
23,what progress has been made in research on unsteady aerodynamics .,698,14,2
23,what progress has been made in research on unsteady aerodynamics .,700,52,2
23,what progress has been made in research on unsteady aerodynamics .,704,254,2
23,what progress has been made in research on unsteady aerodynamics .,705,Não recuperado (score 0),2
23,what progress has been made in research on unsteady aerodynamics .,1109,11,2
23,what progress has been made in research on unsteady aerodynamics .,1141,77,2
23,what progress has been made in research on unsteady aerodynamics .,1256,Não recuperado (score 0),2
23,what progress has been made in research on unsteady aerodynamics .,1272,15,2
23,what progress has been made in research on unsteady aerodynamics .,1289,24,2
26,"what is a single approximate formula for the displacement thickness of
a laminar boundary layer in compressible flow on a flat plate .",376,72,2
26,"what is a single approximate formula for the displacement thickness of
a laminar boundary layer in compressible flow on a flat plate .",406,71,2
26,"what is a single approximate formula for the displacement thickness of
a laminar boundary layer in compressible flow on a flat plate .",565,153,2
26,"what is a single approximate formula for the displacement thickness of
a laminar boundary layer in compressible flow on a flat plate .",1076,27,2
27,"how is the design of ring or part ring wings by linear theory affected
by thickness .",224,14,2
29,"what is the effect of cross sectional shape on the flow over simple
delta wings with sharp leading edges .",609,126,2
30,papers on flow visualization on slender conical wings .,225,14,2
30,papers on flow visualization on slender conical wings .,464,26,2
30,papers on flow visualization on slender conical wings .,514,55,2
32,"to find an approximate correction for thickness in slender thin-wing
theory .",465,55,2
35,"are there any papers dealing with acoustic wave propagation in reacting
gases .",166,27,1
35,"are there any papers dealing with acoustic wave propagation in reacting
gases .",167,Não recuperado (score 0),1
36,"has anyone investigated relaxation effects on gaseous heat transfer to a
suddenly heated wall .",169,434,2
